Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Happy Shoppers (product.metafields.custom.happy_shoppers),Loved By Customers (product.metafields.custom.loved_by_customers),Product Rating (product.metafields.custom.product_rating),Ribbon Text (product.metafields.custom.ribbon_text),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sparq-lab-grown-diamond-009ct-925-sterling-silver-gold-plated-round-shape-earring-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP21754_YELLOW-2.jpg?v=1776753732,2,Lab Grown Diamond 0.09CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-009ct-925-sterling-silver-gold-plated-round-shape-earring-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TNP21754_YELLOW-3.jpg?v=1776753733,3,Lab Grown Diamond 0.09CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-036ct-925-sterling-silver-gold-plated-round-shape-earring-6,Lab Grown Diamond 0.36CT 925 Sterling Silver Gold Plated Round Shape Earring,"<p>Diamond Type: Lab Grown Diamond, Diamond Weight: 0.36 Carat, No. of Stones: 30 ,FG Color, VS Clarity, Certification: IGI Certified, Diamond Shape: Round Metal Type: 925 Sterling Silver and Yellow Gold Plated, Metal Color : Yellow, Silver Weight : 0.92 Grams. Elegantly designed to blend timeless style with effortless comfort, this earrings adds a dazzling touch to any outfitâ€”from everyday wear to evening elegance</p>",Sparq,Apparel & Accessories > Jewelry > Earrings,Earrings,"Earrings, Evening",TRUE,Title,Default Title,,,,,,,,SQTN22042-EG-925S-0.36CT,0,shopify,0,continue,manual,14930,16588,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TN22042_YELLOW-1.jpg?v=1776150871,1,Lab Grown Diamond 0.36CT 925 Sterling Silver Gold Plated Round Shape Earring,FALSE,Lab Grown Diamond 0.36CT 925 Sterling Silver Gold Plated Round Shape Earring,"Diamond Type: Lab Grown Diamond, Diamond Weight: 0.36 Carat, No. of Stones: 30 ,FG Color, VS Clarity, Certification: IGI Certified, Diamond Shape: Round Metal T",Apparel & Accessories > Jewelry > Earrings,Female,Adult,,new,FALSE,,,,,,,,,,FALSE,,,,,,,,kg,,,active
sparq-lab-grown-diamond-036ct-925-sterling-silver-gold-plated-round-shape-earring-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TN22042_YELLOW-2.jpg?v=1776150871,2,Lab Grown Diamond 0.36CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-036ct-925-sterling-silver-gold-plated-round-shape-earring-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TN22042_YELLOW-3.jpg?v=1776150871,3,Lab Grown Diamond 0.36CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-036ct-925-sterling-silver-gold-plated-round-shape-earring-4,Lab Grown Diamond 0.36CT 925 Sterling Silver Gold Plated Round Shape Earring,"<p>Diamond Type: Lab Grown Diamond, Diamond Weight: 0.36 Carat, No. of Stones: 30 ,FG Color, VS Clarity, Certification: IGI Certified, Diamond Shape: Round Metal Type: 925 Sterling Silver and Yellow Gold Plated, Metal Color : Yellow, Silver Weight : 0.89 Grams. Elegantly designed to blend timeless style with effortless comfort, this earrings adds a dazzling touch to any outfitâ€”from everyday wear to evening elegance</p>",Sparq,Apparel & Accessories > Jewelry > Earrings,Earrings,"Earrings, Evening",TRUE,Title,Default Title,,,,,,,,SQTN22041-EG-925S-0.36CT,0,shopify,0,continue,manual,14886,16539,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TN22041_YELLOW-1.jpg?v=1776150870,1,Lab Grown Diamond 0.36CT 925 Sterling Silver Gold Plated Round Shape Earring,FALSE,Lab Grown Diamond 0.36CT 925 Sterling Silver Gold Plated Round Shape Earring,"Diamond Type: Lab Grown Diamond, Diamond Weight: 0.36 Carat, No. of Stones: 30 ,FG Color, VS Clarity, Certification: IGI Certified, Diamond Shape: Round Metal T",Apparel & Accessories > Jewelry > Earrings,Female,Adult,,new,FALSE,,,,,,,,,,FALSE,,,,,,,,kg,,,active
sparq-lab-grown-diamond-036ct-925-sterling-silver-gold-plated-round-shape-earring-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TN22041_YELLOW-2.jpg?v=1776150870,2,Lab Grown Diamond 0.36CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-036ct-925-sterling-silver-gold-plated-round-shape-earring-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TN22041_YELLOW-3.jpg?v=1776150870,3,Lab Grown Diamond 0.36CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-03ct-925-sterling-silver-gold-plated-round-shape-earring-8,Lab Grown Diamond 0.3CT 925 Sterling Silver Gold Plated Round Shape Earring,"<p>Diamond Type: Lab Grown Diamond, Diamond Weight: 0.3 Carat, No. of Stones: 26 ,FG Color, VS Clarity, Certification: IGI Certified, Diamond Shape: Round Metal Type: 925 Sterling Silver and Yellow Gold Plated, Metal Color : Yellow, Silver Weight : 1.43 Grams. Elegantly designed to blend timeless style with effortless comfort, this earrings adds a dazzling touch to any outfitâ€”from everyday wear to evening elegance</p>",Sparq,Apparel & Accessories > Jewelry > Earrings,Earrings,"Earrings, Evening",TRUE,Title,Default Title,,,,,,,,SQTN20479-EG-925S-0.3CT,0,shopify,0,continue,manual,13792,15325,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TN20479_YELLOW-1.jpg?v=1776150869,1,Lab Grown Diamond 0.3CT 925 Sterling Silver Gold Plated Round Shape Earring,FALSE,Lab Grown Diamond 0.3CT 925 Sterling Silver Gold Plated Round Shape Earring,"Diamond Type: Lab Grown Diamond, Diamond Weight: 0.3 Carat, No. of Stones: 26 ,FG Color, VS Clarity, Certification: IGI Certified, Diamond Shape: Round Metal Ty",Apparel & Accessories > Jewelry > Earrings,Female,Adult,,new,FALSE,,,,,,,,,,FALSE,,,,,,,,kg,,,active
sparq-lab-grown-diamond-03ct-925-sterling-silver-gold-plated-round-shape-earring-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TN20479_YELLOW-2.jpg?v=1776150869,2,Lab Grown Diamond 0.3CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparq-lab-grown-diamond-03ct-925-sterling-silver-gold-plated-round-shape-earring-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/9015/1529/files/TN20479_YELLOW-3.jpg?v=1776150869,3,Lab Grown Diamond 0.3CT 925 Sterling Silver Gold Plated Round Shape Earring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
